word,profane,offensive,sexual,mean,evasive
强奸,0,0,3,0,0
阴道,0,0,3,0,0
色情,0,0,3,0,0
吃翔,0,0,0,2,0
黑鬼,3,5,0,0,0
狗货,1,0,0,0,0
脑瘫,0,1,0,1,0
阴茎,1,0,3,0,0
交配,0,0,1,0,0
贱逼,0,2,2,0,0
碧池,0,2,2,0,0
口交,0,0,3,0,0
射精,0,0,2,0,0
吃屎,1,0,0,2,0
阉割,0,0,2,0,0
智障,0,2,0,2,0
屁眼,2,0,1,2,0
生殖器,0,0,2,0,0
你妈死了,0,0,0,2,0
屄,0,2,2,2,2
精液,0,0,3,0,0
毛子,0,0,0,1,0
草你妈,0,1,0,2,0
鸡鸡,1,0,1,1,0
淫,0,0,1,0,0
小穴,0,2,2,2,0
奶子,0,0,2,0,0
东亚病夫,0,1,0,0,0
自慰,0,0,2,0,0
艹你妈,2,0,2,3,0
法克鱿,2,0,2,3,2
乳房,0,0,2,0,0
杂种,2,3,0,0,0
曹你妈,2,0,2,3,2
睾丸,0,0,3,0,0
屌,1,0,1,1,0
撸管,0,0,2,0,0
马眼,0,0,0,1,0
艹尼马,2,0,0,0,0
已撸,2,0,0,0,0
打飞机,0,0,2,0,0
