word,profane,offensive,sexual,mean,evasive
enfoire,2,0,2,2,0
f'd,2,0,2,0,1
f off,2,0,0,2,1
f word,1,0,0,0,1
f y s,2,0,1,3,2
f you,2,0,0,2,1
f u,2,0,0,2,1
facyou,1,0,1,2,1
facist,0,2,0,0,0
fack,1,0,1,0,1
fak,1,0,1,0,2
fallot,0,1,1,0,2
fascist,0,2,0,0,0
fashist,0,2,0,0,0
fag,0,3,1,0,0
fagg,0,3,1,0,0
fags,0,3,1,0,0
faget,0,3,1,0,2
fagh,2,0,1,2,0
fagit,0,3,1,0,1
fagmouth,0,3,1,2,0
fagot,0,3,1,0,0
faegot,0,3,1,0,1
fanculo,2,0,2,0,0
fankulo,2,0,2,0,0
fat,0,0,0,1,0
fatso,0,0,0,2,0
fatty,0,1,0,2,0
fawk,2,0,1,0,2
faygot,0,3,1,0,1
faqing,2,0,2,0,2
fck,2,0,2,0,1
fcked,2,0,2,0,1
fcken,2,0,2,0,1
fcker,2,0,0,2,1
fckin,2,0,2,0,1
fcking,2,0,2,0,1
fcks,2,0,0,0,1
fcuk,2,0,2,0,2
feces,1,0,0,0,0
feck,2,0,2,0,1
felching,0,0,3,0,0
felate,0,0,3,0,0
felatio,0,0,3,0,0
female toes,0,0,2,0,1
fetish,0,0,2,0,0
ficking,2,0,2,0,2
fing,1,0,1,0,1
finger u,0,0,2,0,0
fingeryou,0,0,2,0,0
fingering,0,0,1,0,0
fis de put,2,0,2,3,1
fis put,2,0,2,3,1
fk,2,0,2,0,1
fkc,2,0,2,0,1
fkcing,2,0,2,0,2
fkd,2,0,2,0,1
fked,2,0,2,0,1
fkin,2,0,2,0,1
fking,2,0,2,0,1
fkig,2,0,2,0,2
fkk,2,0,2,0,1
fkker,2,0,2,0,1
fkn,2,0,2,0,1
fkuc,2,0,2,0,2
fkucing,2,0,2,0,2
flange,0,0,3,0,0
flikker,0,3,1,0,1
fock,2,0,2,0,2
fok,2,0,2,0,3
fook,2,0,2,0,3
foursome,0,0,3,0,0
