!,li
@,a
4,a
8,b
6,b
(,c
<,c
3,eg
9,gq
#,h
|,li
1,li
0,o
5,s
$,s
+,t
7,t
2,z

α,a
β,b
γ,y
∆,a
δ,d
ε,e
ζ,z
η,hn
θ,o
ι,i
κ,k
λ,l
μ,mu
ν,nv
ο,o
ρ,p
ς,s
τ,t
υ,u
φ,p
χ,x
ψ,t
Ω,o
ω,w

⊗,o
⊕,o
σ,o
∩,n
∪,u
⊂,c
⊆,c
⊄,c
∈,e
⊖,o
Ø,o
∨,v
∄,ab
∫,l

ℂ,c
¢,c
℃,c
℄,c
ℇ,e
℉,f
ℊ,g
ℋ,h
ℌ,h
ℍ,h
ℎ,h
ℏ,h
ℐ,j
ℑ,j
ℒ,l
ℓ,l
℔,b
ℕ,n
№,n
℗,p
Ⓟ,p
℘,p
ℙ,p
ℚ,q
ℛ,r
ℜ,r
ℝ,r
℟,r
ȿ,s
℣,v
ℤ,z
℧,o
℩,i
K,k
Å,a
ℬ,b
ℭ,c
℮,e
ℰ,e
ℱ,f
ℳ,m
ℴ,o
ℵ,n
ℹ,i
℺,o
ℼ,n
Ʉ,u
ℽ,v
ℿ,n
⅀,e
⅁,g
⅄,l
ⅅ,d
ⅆ,d
ⅇ,e
ⅈ,i
ⅉ,ji
ⓢ,s
ⓨ,y

е,e
о,o
ѕ,s
х,x
і,i
ј,j
р,p
с,c
у,y
ѵ,v
ɑ,a
ɡ,g
ɩ,li
ɒ,o
г,r
π,n
ո,n
հ,h
ս,u
ց,g
ք,fp
ყ,y
୦,o
০,o
੦,o
౦,o
೦,o
๐,o
໐,o
᠐,o
〇,o
օ,o
б,b
৪,b
৭,g
੧,g
୨,g,
